68,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:524,
69,Receive,,Ext / Data,0x1610FF31,0,,00:00:00:541,
70,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:544,
71,Receive,,Ext / Data,0x1610FFA2,0,,00:00:00:545,
72,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:546,
73,Receive,,Ext / Data,0xAF87110,3,00  FE  00  ,00:00:00:564,
74,Receive,,Ext / Data,0x12F85050,5,00  02  E8  00  00  ,00:00:00:565,
75,Receive,,Ext / Data,0x16F86D50,8,0B  21  62  14  0C  A0  00  00  ,00:00:00:595,
76,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:595,
77,Receive,,Ext / Data,0x12F82296,1,80  ,00:00:00:618,
78,Receive,,Ext / Data,0x12F85150,5,40  01  00  00  40  ,00:00:00:634,
79,Receive,,Ext / Data,0x12F85050,5,00  02  E2  00  00  ,00:00:00:664,
80,Receive,,Ext / Data,0xAF81111,2,08  00  ,00:00:00:676,
81,Receive,,Ext / Data,0x12F95555,2,5B  28  ,00:00:00:678,
82,Receive,,Ext / Data,0x12F85450,2,16  36  ,00:00:00:693,
83,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:711,
84,Receive,,Ext / Data,0x12F84112,1,00  ,00:00:00:711,
85,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:712,
86,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:714,
87,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:714,
88,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:715,
89,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:716,
90,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:720,
91,Receive,,Ext / Data,0x16F86250,8,02  48  36  36  43  42  30  00  ,00:00:00:723,
92,Receive,,Ext / Data,0x1610FF11,0,,00:00:00:726,
93,Receive,,Ext / Data,0x12F85351,8,00  01  00  00  00  00  47  10  ,00:00:00:731,
94,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:733,
95,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:745,
96,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:747,
97,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:748,
98,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:757,
99,Receive,,Ext / Data,0x1610FF10,0,,00:00:00:761,
100,Receive,,Ext / Data,0xEF87310,4,D8  01  01  00  ,00:00:00:762,
101,Receive,,Ext / Data,0x12F85050,5,00  02  DB  00  00  ,00:00:00:763,
102,Receive,,Ext / Data,0x1610FF34,0,,00:00:00:764,
103,Receive,,Ext / Data,0x12F8B0A2,1,00  ,00:00:00:778,
104,Receive,,Ext / Data,0xEF95251,8,02  B8  B8  30  20  84  BA  FE  ,00:00:00:782,
105,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:791,
106,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:792,
107,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:793,
108,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:795,
109,Receive,,Ext / Data,0x12F81010,4,28  00  80  00  ,00:00:00:801,
