 Index,     Direction,      Status/Code/Error Count,    Format/Type,   ID,    DLC,            Data,                 Time Mark
  64      ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:00:12:777,
  65      ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:00:12:778,
  66      ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:00:12:779,
  67      ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:00:12:780,
  68      ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:00:12:780,
  69      ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:00:12:781,
  70      ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:00:12:782,
  71      ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:00:12:783,
  72      ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:00:12:783,
  73      ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  AA  00  00                  ,00:00:12:784,
  74      ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:00:12:785,
  75      ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:00:12:786,
  76      ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:00:12:787,
  77      ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:00:12:791,
  78      ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:00:12:794,
  79      ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:00:12:799,
  80      ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:00:12:816,
  81      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:12:817,
  82      ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:00:12:818,
  83      ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:00:12:818,
  84      ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:12:819,
  85      ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6E  78  3C  20  C7  D9  00  ,00:00:12:820,
  86      ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  74  14  FF  E0  00  00  ,00:00:12:822,
