Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
0,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:024,
1,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:025,
2,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:026,
3,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:028,
4,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:031,
5,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:035,
6,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:036,
7,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:036,
8,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:055,
9,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:063,
10,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:066,
11,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:094,
12,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:096,
13,Receive,,Ext / Data,0x12F95555,2,4B  58  ,00:00:00:109,
14,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:114,
15,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:125,
16,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:126,
17,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:127,
18,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:128,
19,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:129,
20,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:135,
21,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:137,
22,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:147,
23,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:218,
24,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:226,
25,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:234,
26,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:236,
27,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:237,
28,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:238,
29,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:242,
30,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:243,
31,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:244,
32,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:245,
33,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:246,
34,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:317,
35,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:321,
36,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:322,
37,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:323,
38,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:325,
39,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:329,
40,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:332,
41,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:333,
42,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:333,
43,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:357,
44,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:363,
45,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:363,
46,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:366,
47,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:396,
48,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:396,
49,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:410,
