Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
0,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:004,
1,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:005,
2,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:006,
3,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:028,
4,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:063,
5,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:087,
6,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:088,
7,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:088,
8,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:089,
9,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:090,
10,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:091,
11,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:096,
12,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:097,
13,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:099,
14,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:108,
15,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:139,
16,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:178,
17,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:187,
18,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:188,
19,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:198,
20,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:199,
21,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:200,
22,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:208,
23,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:211,
24,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:212,
25,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:213,
26,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:255,
27,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:261,
28,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:286,
29,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:287,
30,Receive,,Ext / Data,0x12F85250,4,FE  00  C1  7D  ,00:00:00:288,
31,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:290,
32,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:291,
33,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:292,
34,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:300,
35,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:301,
36,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:302,
37,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:303,
38,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:325,
39,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:363,
40,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:384,
41,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:384,
42,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:385,
43,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:386,
44,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:387,
45,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:388,
46,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:394,
47,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:396,
48,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:397,
49,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:400,
50,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:405,
51,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:441,
52,Receive,,Ext / Data,0x12F95555,2,4B  58  ,00:00:00:467,
53,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:472,
54,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:480,
55,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:484,
56,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:485,
57,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:495,
58,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:496,
59,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:497,
60,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:505,
61,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:508,
62,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:509,
63,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:510,
64,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:552,
65,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:557,
66,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:583,
67,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:584,
68,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:587,
69,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:588,
70,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:589,
71,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:597,
72,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:598,
73,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:599,
74,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:600,
75,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:622,
76,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:663,
77,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:681,
78,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:682,
79,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:683,
80,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:683,
81,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:685,
82,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:685,
83,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:691,
84,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:693,
85,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:695,
86,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:703,
87,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:743,
88,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:781,
89,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:782,
90,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:783,
91,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:792,
92,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:793,
93,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:794,
94,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:802,
95,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:805,
96,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:806,
97,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:807,
98,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:808,
99,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:849,
100,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:854,
101,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:879,
102,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:881,
103,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:884,
104,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:885,
105,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:886,
106,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:894,
107,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:895,
108,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:896,
109,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:897,
110,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:919,
111,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:963,
112,Receive,,Ext / Data,0x1610FF55,0,,00:00:00:966,
113,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:978,
114,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:979,
115,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:980,
116,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:981,
117,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:982,
118,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:983,
119,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:988,
120,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:990,
121,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:995,
122,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:01:000,
123,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:01:045,
124,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:01:078,
125,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:01:079,
126,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:01:084,
127,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:01:089,
128,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:01:090,
129,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:01:091,
130,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:01:099,
131,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:01:102,
132,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:01:103,
133,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:01:104,
134,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:01:146,
135,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:01:151,
136,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:01:176,
137,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:01:178,
138,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:01:181,
139,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:01:182,
140,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:01:183,
141,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:01:191,
142,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:01:192,
143,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:01:193,
144,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:01:194,
145,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:01:216,
146,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:01:262,
147,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:01:274,
148,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:01:275,
