Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
1939,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:057,
1940,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:060,
1941,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:060,
1942,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:061,
1943,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:067,
1944,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:068,
1945,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:069,
1946,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:077,
1947,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:118,
1948,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:136,
1949,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:137,
1950,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:139,
1951,Receive,,Ext / Data,0x12F95555,2,4B  58  ,00:00:00:139,
1952,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:140,
1953,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:141,
1954,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:149,
1955,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:150,
1956,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:150,
1957,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:151,
1958,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:156,
1959,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:193,
1960,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:218,
1961,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:246,
1962,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:253,
1963,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:254,
1964,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:255,
1965,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:256,
1966,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:257,
1967,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:263,
1968,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:265,
1969,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:273,
1970,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:275,
1971,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:277,
1972,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:285,
1973,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:334,
1974,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:354,
1975,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:357,
1976,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:357,
1977,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:358,
1978,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:364,
1979,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:365,
1980,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:367,
1981,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:374,
1982,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:418,
1983,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:433,
1984,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:434,
1985,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:436,
1986,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:436,
1987,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:437,
1988,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:446,
1989,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:447,
1990,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:447,
1991,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:450,
1992,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:451,
1993,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:453,
1994,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:491,
1995,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:517,
1996,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:548,
1997,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:550,
1998,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:551,
1999,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:552,
2000,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:553,
2001,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:554,
2002,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:560,
