Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
3691,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:041,
3692,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:061,
3693,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:062,
3694,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:063,
3695,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:084,
3696,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:094,
3697,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:095,
3698,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:096,
3699,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:103,
3700,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:122,
3701,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:140,
3702,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:141,
3703,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:141,
3704,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:142,
3705,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:143,
3706,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:150,
3707,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:151,
3708,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:152,
3709,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:152,
3710,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:177,
3711,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:178,
3712,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:183,
3713,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:205,
3714,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:210,
3715,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:216,
3716,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:219,
3717,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:279,
3718,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:280,
3719,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:281,
3720,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:282,
3721,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:283,
3722,Receive,,Ext / Data,0x12F85250,4,FE  00  C1  7D  ,00:00:00:284,
3723,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:289,
3724,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:292,
3725,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:301,
3726,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:338,
3727,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:358,
3728,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:359,
3729,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:360,
3730,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:381,
3731,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:391,
3732,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:392,
3733,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:393,
3734,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:400,
3735,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:420,
3736,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:437,
3737,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:438,
3738,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:438,
3739,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:439,
3740,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:439,
3741,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:447,
3742,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:448,
3743,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:449,
3744,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:449,
3745,Receive,,Ext / Data,0x12F95555,2,4B  58  ,00:00:00:464,
3746,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:477,
3747,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:479,
3748,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:480,
3749,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:501,
3750,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:509,
3751,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:517,
3752,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:518,
3753,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:576,
3754,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:577,
3755,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:578,
3756,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:579,
3757,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:580,
3758,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:586,
3759,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:589,
3760,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:598,
3761,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:635,
3762,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:655,
3763,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:656,
3764,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:657,
3765,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:678,
3766,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:688,
3767,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:689,
3768,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:690,
3769,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:698,
3770,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:716,
3771,Receive,,Ext / Data,0x1610FF55,0,,00:00:00:734,
3772,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:734,
3773,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:735,
3774,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:736,
3775,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:736,
3776,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:737,
3777,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:743,
3778,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:744,
3779,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:745,
3780,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:746,
3781,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:746,
3782,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:777,
3783,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:777,
3784,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:781,
3785,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:799,
3786,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:809,
3787,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:814,
3788,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:820,
3789,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:873,
3790,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:874,
3791,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:875,
3792,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:876,
3793,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:877,
3794,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:883,
3795,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:886,
3796,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:895,
3797,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:932,
3798,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:942,
3799,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:952,
3800,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:953,
3801,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:954,
3802,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:975,
3803,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:985,
3804,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:986,
3805,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:987,
3806,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:995,
3807,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:01:014,
3808,Receive,,Ext / Data,0x1610FF33,0,,00:00:01:017,
3809,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:01:031,
3810,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:01:032,
3811,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:01:032,
3812,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:01:033,
3813,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:01:033,
3814,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:01:041,
3815,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:01:042,
3816,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:01:043,
3817,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:01:043,
3818,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:01:074,
3819,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:01:076,
3820,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:01:083,
3821,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:01:096,
3822,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:01:109,
3823,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:01:111,
3824,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:01:122,
3825,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:01:170,
3826,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:01:171,
3827,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:01:172,
3828,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:01:173,
3829,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:01:174,
3830,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:01:180,
3831,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:01:183,
3832,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:01:192,
3833,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:01:229,
3834,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:01:249,
3835,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:01:250,
3836,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:01:251,
