Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
0,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:016,
1,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:017,
2,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:017,
3,Receive,,Ext / Data,0x12F81010,4,28  00  80  00  ,00:00:00:026,
4,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:027,
5,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:028,
6,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:029,
7,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:062,
8,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:063,
9,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:064,
10,Receive,,Ext / Data,0x12F84112,1,00  ,00:00:00:064,
11,Receive,,Ext / Data,0x12F85050,5,00  03  0D  00  00  ,00:00:00:065,
12,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:066,
13,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:067,
14,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:068,
15,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:072,
16,Receive,,Ext / Data,0x16F86250,8,01  35  46  4E  52  4C  35  00  ,00:00:00:073,
17,Receive,,Ext / Data,0x12F8B0A2,1,00  ,00:00:00:080,
18,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:082,
19,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:085,
20,Receive,,Ext / Data,0x12F85351,8,00  01  00  00  00  00  67  50  ,00:00:00:121,
21,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:141,
22,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:144,
23,Receive,,Ext / Data,0xEF87310,4,D8  01  01  40  ,00:00:00:145,
24,Receive,,Ext / Data,0x12F85050,5,00  03  0F  00  00  ,00:00:00:162,
25,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:181,
26,Receive,,Ext / Data,0x12F85150,5,40  01  00  00  40  ,00:00:00:192,
27,Receive,,Ext / Data,0x1610FFA2,0,,00:00:00:194,
28,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:199,
29,Receive,,Ext / Data,0x16F86C50,8,06  F0  B4  7D  3E  C7  D9  00  ,00:00:00:222,
30,Receive,,Ext / Data,0xEF95251,8,02  B4  B4  30  20  C0  B6  FE  ,00:00:00:231,
31,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:232,
32,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  29  40  00  00  ,00:00:00:241,
33,Receive,,Ext / Data,0xAF87110,3,00  FE  00  ,00:00:00:244,
34,Receive,,Ext / Data,0xAF81111,2,08  00  ,00:00:00:245,
35,Receive,,Ext / Data,0x12F85450,2,16  36  ,00:00:00:251,
36,Receive,,Ext / Data,0x12F85050,5,00  03  0D  00  00  ,00:00:00:261,
37,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:304,
38,Receive,,Ext / Data,0x12F82296,1,80  ,00:00:00:305,
39,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:313,
40,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:314,
41,Receive,,Ext / Data,0x1610FF11,0,,00:00:00:314,
42,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:315,
43,Receive,,Ext / Data,0x12F81010,4,28  00  80  00  ,00:00:00:323,
44,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:324,
45,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:325,
46,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:326,
47,Receive,,Ext / Data,0x1610FF10,0,,00:00:00:343,
48,Receive,,Ext / Data,0x1610FF96,0,,00:00:00:343,
49,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:348,
50,Receive,,Ext / Data,0x1610FF34,0,,00:00:00:350,
51,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:353,
52,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:357,
53,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:359,
54,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:360,
55,Receive,,Ext / Data,0x12F84112,1,00  ,00:00:00:361,
56,Receive,,Ext / Data,0x12F85050,5,00  03  0B  00  00  ,00:00:00:362,
57,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:362,
58,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:364,
59,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:365,
60,Receive,,Ext / Data,0x1610FF12,0,,00:00:00:366,
61,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:369,
62,Receive,,Ext / Data,0x16F86250,8,02  48  36  36  43  42  30  00  ,00:00:00:370,
63,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:379,
64,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:382,
65,Receive,,Ext / Data,0x12F85351,8,00  01  00  00  00  00  67  50  ,00:00:00:421,
66,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:439,
67,Receive,,Ext / Data,0xEF87310,4,D8  01  01  40  ,00:00:00:442,
68,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:443,
69,Receive,,Ext / Data,0x12F85050,5,00  03  10  00  00  ,00:00:00:459,
70,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:483,
71,Receive,,Ext / Data,0x12F85150,5,40  01  00  00  40  ,00:00:00:489,
72,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:499,
73,Receive,,Ext / Data,0x16F86C50,8,06  F0  B4  7D  3E  C7  D9  00  ,00:00:00:519,
