Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
2455,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:015,
2456,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:016,
2457,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:017,
2458,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:024,
2459,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:070,
2460,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:075,
2461,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:077,
2462,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:077,
2463,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:078,
2464,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:087,
2465,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:088,
2466,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:088,
2467,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:091,
2468,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:104,
2469,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:116,
2470,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:141,
2471,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:148,
2472,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:151,
2473,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:200,
2474,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:201,
2475,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:202,
2476,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:203,
2477,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:204,
2478,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:210,
2479,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:213,
2480,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:222,
2481,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:234,
2482,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:250,
2483,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:255,
2484,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:273,
2485,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:274,
2486,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:295,
2487,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:295,
2488,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:296,
2489,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:302,
2490,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:312,
2491,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:313,
2492,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:314,
2493,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:321,
2494,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:366,
2495,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:372,
2496,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:374,
2497,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:374,
2498,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:375,
2499,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:384,
2500,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:385,
2501,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:385,
2502,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:401,
2503,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:415,
2504,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:438,
